epoch,NMI,Modality,Backbone
1,0.533829451,sensor,TF_6
2,0.463658243,sensor,TF_6
3,0.485374868,sensor,TF_6
4,0.473086208,sensor,TF_6
5,0.537219703,sensor,TF_6
6,0.544319987,sensor,TF_6
7,0.552831411,sensor,TF_6
8,0.578866363,sensor,TF_6
9,0.592766702,sensor,TF_6
10,0.620420575,sensor,TF_6
11,0.638010442,sensor,TF_6
12,0.666678309,sensor,TF_6
13,0.687088788,sensor,TF_6
14,0.74549067,sensor,TF_6
1,0.2556431,vision,ResNet-50
2,0.34629038,vision,ResNet-50
3,0.444749773,vision,ResNet-50
4,0.463318318,vision,ResNet-50
5,0.460388273,vision,ResNet-50
6,0.515407324,vision,ResNet-50
7,0.533156514,vision,ResNet-50
8,0.553549409,vision,ResNet-50
9,0.564981163,vision,ResNet-50
10,0.556596756,vision,ResNet-50
11,0.58843118,vision,ResNet-50
12,0.606635809,vision,ResNet-50
13,0.634939253,vision,ResNet-50
14,0.721366227,vision,ResNet-50
1,0.118263766,vision,ResNet-101
2,0.121664792,vision,ResNet-101
3,0.286705583,vision,ResNet-101
4,0.3903642,vision,ResNet-101
5,0.488031834,vision,ResNet-101
6,0.530510604,vision,ResNet-101
7,0.545932472,vision,ResNet-101
8,0.538954496,vision,ResNet-101
9,0.556980431,vision,ResNet-101
10,0.577404618,vision,ResNet-101
11,0.583376527,vision,ResNet-101
12,0.594300449,vision,ResNet-101
13,0.657627761,vision,ResNet-101
14,0.682712615,vision,ResNet-101
1,0.509098053,sensor,TF_6
2,0.421732336,sensor,TF_6
3,0.503177762,sensor,TF_6
4,0.573455036,sensor,TF_6
5,0.574679792,sensor,TF_6
6,0.571572304,sensor,TF_6
7,0.571629465,sensor,TF_6
8,0.602399766,sensor,TF_6
9,0.610300601,sensor,TF_6
10,0.657653034,sensor,TF_6
11,0.675450861,sensor,TF_6
12,0.666660845,sensor,TF_6
13,0.664218545,sensor,TF_6
14,0.695495546,sensor,TF_6
1,0.100002125,vision,ResNet-152
2,0.108329356,vision,ResNet-152
3,0.372525096,vision,ResNet-152
4,0.503125787,vision,ResNet-152
5,0.496884495,vision,ResNet-152
