epoch,NMI,Modality,Backbone,,,,
1,0.030266117,sensor,TF_6,,,,
2,0.139914274,sensor,TF_6,,,,
3,0.108887374,sensor,TF_6,,,,
4,0.145957708,sensor,TF_6,,,,
5,0.140595376,sensor,TF_6,,,,
6,0.135062471,sensor,TF_6,,,,
7,0.138724834,sensor,TF_6,,,,
8,0.126928374,sensor,TF_6,,,,
9,0.130022332,sensor,TF_6,,,,
10,0.125490233,sensor,TF_6,,,,
11,0.128313035,sensor,TF_6,,,,
12,0.135257825,sensor,TF_6,,,,
13,0.121116504,sensor,TF_6,,,,
14,0.129684046,sensor,TF_6,,,,
15,0.12374749,sensor,TF_6,,,,
1,0.082269229,vision,ResNet-50,,,,
2,0.090950616,vision,ResNet-50,,,,
3,0.155238539,vision,ResNet-50,,,,
4,0.119305328,vision,ResNet-50,,,,
5,0.139636949,vision,ResNet-50,,,,
6,0.142203495,vision,ResNet-50,,,,
7,0.122806571,vision,ResNet-50,,,,
8,0.131690592,vision,ResNet-50,,,,
9,0.123286352,vision,ResNet-50,,,,
10,0.127925679,vision,ResNet-50,,,,
11,0.125462115,vision,ResNet-50,,,,
12,0.121389292,vision,ResNet-50,,,,
13,0.133355111,vision,ResNet-50,,,,
14,0.115080975,vision,ResNet-50,,,,
,,,,15,0.123313241,vision,ResNet-50
1,0.03955631,vision,ResNet-101,,,,
2,0.133450404,vision,ResNet-101,,,,
3,0.093341738,vision,ResNet-101,,,,
4,0.136535674,vision,ResNet-101,,,,
5,0.117893137,vision,ResNet-101,,,,
6,0.170094669,vision,ResNet-101,,,,
7,0.121020176,vision,ResNet-101,,,,
8,0.143597111,vision,ResNet-101,,,,
9,0.115100257,vision,ResNet-101,,,,
10,0.141073942,vision,ResNet-101,,,,
11,0.113370828,vision,ResNet-101,,,,
12,0.125450328,vision,ResNet-101,,,,
13,0.112980165,vision,ResNet-101,,,,
14,0.122162007,vision,ResNet-101,,,,
15,0.114835985,vision,ResNet-101,,,,
1,0.019968569,sensor,TF_6,,,,
2,0.024836056,sensor,TF_6,,,,
3,0.103050791,sensor,TF_6,,,,
4,0.123941585,sensor,TF_6,,,,
5,0.150265962,sensor,TF_6,,,,
6,0.119119324,sensor,TF_6,,,,
